Period,Segment,Revenue_Lakhs,Pct_of_Total_Revenue
FY2023,Mid-Premium,1926.92,17.69
FY2023,Premium,9309.24,85.48
FY2023,Ultra-Premium,0.0,0.0
FY2023,Luxe-Series,0.0,0.0
FY2023,Ultra-Luxury,-345.0,-3.17
FY2024,Mid-Premium,69.88,0.63
FY2024,Premium,10313.75,93.11
FY2024,Ultra-Premium,693.13,6.26
FY2024,Luxe-Series,0.0,0.0
FY2024,Ultra-Luxury,0.0,0.0
FY2025,Mid-Premium,910.99,4.74
FY2025,Premium,11044.49,57.41
FY2025,Ultra-Premium,6957.05,36.16
FY2025,Luxe-Series,0.0,0.0
FY2025,Ultra-Luxury,325.0,1.69
H1_FY2026,Mid-Premium,1140.82,9.19
H1_FY2026,Premium,6081.31,48.98
H1_FY2026,Ultra-Premium,5144.35,41.43
H1_FY2026,Luxe-Series,49.37,0.4
H1_FY2026,Ultra-Luxury,0.0,0.0
